API call	Permission(s)	Notes		
android.accessibilityservice.AccessibilityService.clearWallpaper()	android.permission.SET_WALLPAPER			
android.accessibilityservice.AccessibilityService.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	An additional permission check depends on the Intent; see the Intent permissions section.		
android.accessibilityservice.AccessibilityService.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	An additional permission check depends on the Intent; see the Intent permissions section.		
android.accessibilityservice.AccessibilityService.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY	An additional permission check depends on the Intent; see the Intent permissions section.		
android.accessibilityservice.AccessibilityService.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.accessibilityservice.AccessibilityService.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.accounts.AbstractAccountAuthenticator.checkBinderPermission()	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator.confirmCredentials(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator.editProperties(android.accounts.IAccountAuthenticatorResponse,java.lang.String)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator.getAccountRemovalAllowed(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator.getAuthToken(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator.getAuthTokenLabel(android.accounts.IAccountAuthenticatorResponse,java.lang.String)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator.hasFeatures(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,[Ljava.lang.String;)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator.updateCredentials(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator$Transport.addAccount(android.accounts.IAccountAuthenticatorResponse,java.lang.String,java.lang.String,[Ljava.lang.String;,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator$Transport.confirmCredentials(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator$Transport.editProperties(android.accounts.IAccountAuthenticatorResponse,java.lang.String)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator$Transport.getAccountRemovalAllowed(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator$Transport.getAuthToken(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator$Transport.getAuthTokenLabel(android.accounts.IAccountAuthenticatorResponse,java.lang.String)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator$Transport.hasFeatures(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,[Ljava.lang.String;)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator$Transport.updateCredentials(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.AbstractAccountAuthenticator.addAccount(android.accounts.IAccountAuthenticatorResponse,java.lang.String,java.lang.String,[Ljava.lang.String;,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.AccountAuthenticatorActivity.clearWallpaper()	android.permission.SET_WALLPAPER			
android.accounts.AccountAuthenticatorActivity.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.accounts.AccountAuthenticatorActivity.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.accounts.AccountAuthenticatorActivity.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.accounts.AccountAuthenticatorActivity.setPersistent(boolean)	android.permission.PERSISTENT_ACTIVITY			
android.accounts.AccountAuthenticatorActivity.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.accounts.AccountAuthenticatorActivity.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.accounts.AccountManager.addAccount(java.lang.String,java.lang.String,[Ljava.lang.String;,android.os.Bundle,android.app.Activity,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager.addAccountExplicitly(android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManager.addOnAccountsUpdatedListener(android.accounts.OnAccountsUpdateListener,android.os.Handler,boolean)	android.permission.GET_ACCOUNTS			
android.accounts.AccountManager.blockingGetAuthToken(android.accounts.Account,java.lang.String,boolean)	android.permission.USE_CREDENTIALS			
android.accounts.AccountManager.clearPassword(android.accounts.Account)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager.confirmCredentials(android.accounts.Account,android.os.Bundle,android.app.Activity,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager.editProperties(java.lang.String,android.app.Activity,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager.getAccounts()	android.permission.GET_ACCOUNTS			
android.accounts.AccountManager.getAccountsByType(java.lang.String)	android.permission.GET_ACCOUNTS			
android.accounts.AccountManager.getAccountsByTypeAndFeatures(java.lang.String,[Ljava.lang.String;,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.GET_ACCOUNTS			
android.accounts.AccountManager.getAuthToken(android.accounts.Account,java.lang.String,android.os.Bundle,android.app.Activity,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.USE_CREDENTIALS			
android.accounts.AccountManager.getAuthToken(android.accounts.Account,java.lang.String,boolean,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.USE_CREDENTIALS			
android.accounts.AccountManager.getAuthTokenByFeatures(java.lang.String,java.lang.String,[Ljava.lang.String;,android.app.Activity,android.os.Bundle,android.os.Bundle,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.GET_ACCOUNTS			
android.accounts.AccountManager.getPassword(android.accounts.Account)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManager.getUserData(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManager.hasFeatures(android.accounts.Account,[Ljava.lang.String;,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.GET_ACCOUNTS			
android.accounts.AccountManager.invalidateAuthToken(java.lang.String,java.lang.String)	android.permission.MANAGE_ACCOUNTS or android.permission.USE_CREDENTIALS			
android.accounts.AccountManager.peekAuthToken(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManager.removeAccount(android.accounts.Account,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager.setAuthToken(android.accounts.Account,java.lang.String,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManager.setPassword(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManager.setUserData(android.accounts.Account,java.lang.String,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManager.updateCredentials(android.accounts.Account,java.lang.String,android.os.Bundle,android.app.Activity,android.accounts.AccountManagerCallback,android.os.Handler)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager$AmsTask.doWork()	android.permission.GET_ACCOUNTS and android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager$AmsTask.start()	android.permission.GET_ACCOUNTS and android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager$GetAuthTokenByTypeAndFeaturesTask.doWork()	android.permission.GET_ACCOUNTS and android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManager$GetAuthTokenByTypeAndFeaturesTask.start()	android.permission.GET_ACCOUNTS and android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService.addAccount(android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManagerService.addAcount(android.accounts.IAccountManagerResponse,java.lang.String,java.lang.String,[Ljava.lang.String;,boolean,android.os.Bundle)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService.checkAuthenticateAccountsPermission(android.accounts.Account)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManagerService.checkManageAccountsOrUseCredentialsPermissions()	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService.checkManageAccountsPermission()	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService.checkReadAccountsPermission()	android.permission.GET_ACCOUNTS			
android.accounts.AccountManagerService.clearPassword(android.accounts.Account)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService.confirmCredentials(android.accounts.IAccountManagerResponse,android.accounts.Account,android.os.Bundle,boolean)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService.editProperties(android.accounts.IAccountManagerResponse,java.lang.String,boolean)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService.getAccounts(java.lang.String)	android.permission.GET_ACCOUNTS			
android.accounts.AccountManagerService.getAccountsByFeatures(android.accounts.IAccountManagerResponse,java.lang.String,[Ljava.lang.String;)	android.permission.GET_ACCOUNTS			
android.accounts.AccountManagerService.getAuthToken(android.accounts.IAccountManagerResponse,android.accounts.Account,java.lang.String,boolean,boolean,android.os.Bundle)	android.permission.USE_CREDENTIALS			
android.accounts.AccountManagerService.getPassword(android.accounts.Account)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManagerService.getUserData(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManagerService.hasFeatures(android.accounts.IAccountManagerResponse,android.accounts.Account,[Ljava.lang.String;)	android.permission.GET_ACCOUNTS			
android.accounts.AccountManagerService.invalidateAuthToken(java.lang.String,java.lang.String)	android.permission.MANAGE_ACCOUNTS or android.permission.USE_CREDENTIALS			
android.accounts.AccountManagerService.peekAuthToken(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManagerService.removeAccount(android.accounts.IAccountManagerResponse,android.accounts.Account)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService.setAuthToken(android.accounts.Account,java.lang.String,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManagerService.setPassword(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManagerService.setUserData(android.accounts.Account,java.lang.String,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.AccountManagerService.updateCredentials(android.accounts.IAccountManagerResponse,android.accounts.Account,java.lang.String,boolean,android.os.Bundle)	android.permission.MANAGE_ACCOUNTS			
android.accounts.AccountManagerService$SimWatcher.onReceive(android.content.Context,android.content.Intent)	android.permission.READ_PHONE_STATE			
android.accounts.GrantCredentialsPermissionActivity.clearWallpaper()	android.permission.SET_WALLPAPER			
android.accounts.GrantCredentialsPermissionActivity.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.accounts.GrantCredentialsPermissionActivity.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.accounts.GrantCredentialsPermissionActivity.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.accounts.GrantCredentialsPermissionActivity.setPersistent(boolean)	android.permission.PERSISTENT_ACTIVITY			
android.accounts.GrantCredentialsPermissionActivity.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.accounts.GrantCredentialsPermissionActivity.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.accounts.IAccountAuthenticator$Stub$Proxy.addAccount(android.accounts.IAccountAuthenticatorResponse,java.lang.String,java.lang.String,[Ljava.lang.String;,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.IAccountAuthenticator$Stub$Proxy.confirmCredentials(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.IAccountAuthenticator$Stub$Proxy.editProperties(android.accounts.IAccountAuthenticatorResponse,java.lang.String)	android.permission.ACCOUNT_MANAGER			
android.accounts.IAccountAuthenticator$Stub$Proxy.getAccountRemovalAllowed(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account)	android.permission.ACCOUNT_MANAGER			
android.accounts.IAccountAuthenticator$Stub$Proxy.getAuthToken(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.IAccountAuthenticator$Stub$Proxy.getAuthTokenLabel(android.accounts.IAccountAuthenticatorResponse,java.lang.String)	android.permission.ACCOUNT_MANAGER			
android.accounts.IAccountAuthenticator$Stub$Proxy.hasFeatures(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,[Ljava.lang.String;)	android.permission.ACCOUNT_MANAGER			
android.accounts.IAccountAuthenticator$Stub$Proxy.updateCredentials(android.accounts.IAccountAuthenticatorResponse,android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.ACCOUNT_MANAGER			
android.accounts.IAccountManager$Stub$Proxy.addAccount(android.accounts.Account,java.lang.String,android.os.Bundle)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.addAcount(android.accounts.IAccountManagerResponse,java.lang.String,java.lang.String,[Ljava.lang.String;,boolean,android.os.Bundle)	android.permission.MANAGE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.clearPassword(android.accounts.Account)	android.permission.MANAGE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.confirmCredentials(android.accounts.IAccountManagerResponse,android.accounts.Account,android.os.Bundle,boolean)	android.permission.MANAGE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.editProperties(android.accounts.IAccountManagerResponse,java.lang.String,boolean)	android.permission.MANAGE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.getAccounts(java.lang.String)	android.permission.GET_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.getAccountsByFeatures(android.accounts.IAccountManagerResponse,java.lang.String,[Ljava.lang.String;)	android.permission.GET_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.getAuthToken(android.accounts.IAccountManagerResponse,android.accounts.Account,java.lang.String,boolean,boolean,android.os.Bundle)	android.permission.USE_CREDENTIALS			
android.accounts.IAccountManager$Stub$Proxy.getPassword(android.accounts.Account)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.getUserData(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
